country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Gambia,74.8,55.7,36,28.3,32.2,33.2,33.4,35.9,40,34.6,33,31.1,29.6,25.6,17.3,19.7,20.8,21.6,22.5,23.2,26.9,25.4,28.9,
Guinea-Bissau,13.3,14.8,14.4,14.8,18.5,21.1,22.8,26.2,34.9,27.6,31.6,44.7,37.8,46.1,65,52.5,56.6,54.8,58.9,54.2,68.2,68.4,66.1,
Equatorial Guinea,18.2,26.9,71.4,81.2,96.1,112,132,164,204,235,222,246,262,268,273,212,213,215,231,216,230,237,190,
Greece,885,1000,1170,1570,1780,1940,2050,2430,2840,2810,2560,2340,1950,1830,1700,1480,1510,1510,1600,1570,1670,1850,1770,
Grenada,259,271,308,287,294,326,324,360,401,377,374,403,413,418,381,404,409,454,462,516,477,514,521,
Guatemala,83.6,100,108,113,122,132,149,159,176,169,175,191,201,199,217,234,246,265,266,279,289,341,396,
Guyana,62.4,60.1,65,68.2,74.7,85.4,98.3,126,139,150,163,186,202,211,216,227,236,267,297,314,367,463,532,
Honduras,68.5,67.1,70.7,79.7,83.3,97.9,112,128,149,160,165,182,184,176,173,170,178,169,178,184,213,254,251,
Croatia,371,388,386,512,635,727,816,1040,1260,1190,1130,1130,1030,890,909,796,841,903,1020,1040,1090,1380,1340,
Haiti,30.4,27.4,22.4,18.6,24,25.3,29.1,37.6,40.4,41.4,55.7,77.1,75.1,59.4,65.1,68.5,60.1,53.8,62.3,49.3,44.4,57.6,52.3,
Hungary,313,360,473,683,798,895,893,1000,1120,944,983,1060,961,991,1010,871,914,985,1080,1050,1170,1380,1220,1410
Indonesia,15.4,16.9,19,25.5,26,34.1,44.4,56,59.2,62.4,85.6,107,106,102,102,96.2,106,110,111,118,132,159,127,
India,18.5,19.7,20.2,21.9,24.9,27.5,29.4,35.6,37.7,38.1,44.8,48.2,48.5,55.5,56.3,58.1,59.7,56.7,57.5,60.7,63.8,75.5,79.5,
Ireland,1560,1820,2200,2910,3480,3940,4150,4860,5640,5500,5130,5550,5210,5310,5320,4580,4730,5010,5190,5460,6100,6760,6450,
Iran,79.9,93.2,105,116,140,170,192,238,289,354,425,505,500,398,368,380,444,464,285,225,201,234,238,
Iraq,,,,27,51.8,53.1,56.8,101,139,140,145,162,174,187,179,149,200,197,233,242,248,252,255,
Iceland,2860,2530,3050,3840,4410,5080,4920,5800,4750,3620,3610,3940,3780,4100,4520,4300,5050,5990,6280,5910,5690,6720,6850,7200
Israel,1470,1510,1360,1380,1440,1510,1560,1770,2130,2030,2240,2440,2410,2670,2800,2650,2780,3070,3200,3340,3620,4190,4220,
Italy,1520,1590,1760,2160,2570,2680,2830,3090,3500,3340,3220,3390,3090,3150,3150,2680,2700,2810,3000,2910,3060,3400,3130,3230
Jamaica,195,181,175,150,183,190,186,251,282,228,255,274,261,254,257,285,286,323,333,342,323,371,468,
Jordan,151,161,165,162,175,185,189,208,275,317,304,322,326,309,302,302,278,289,289,295,286,301,295,
Japan,2750,2490,2410,2650,2880,2890,2760,2780,3220,3700,4070,5100,5230,4360,4120,3750,4190,4140,4270,4430,4490,4480,3890,
Kazakhstan,49.1,49.4,56.9,72.9,108,140,171,174,246,241,241,294,365,359,370,310,256,273,267,264,330,392,421,
Kenya,21.5,22.1,22.3,25.6,27.7,31,40.3,49.4,54.4,55.5,58.8,57,64.5,67.6,72.8,70.9,73.9,66.5,75.3,85.6,86.6,94.1,90.4,
Kyrgyz Republic,12,12.9,14.4,21.7,26.4,34.9,44.6,49.6,62.8,59.9,60.7,78.7,98.7,104,93.2,79.5,71.5,76.6,65.3,61.4,61.4,72.6,85.9,
Cambodia,19.3,22.2,24.3,25,28.8,32.3,32.8,30.8,48.6,55.3,53.6,65.4,68.3,71.3,72.7,71.6,75.2,78,91.6,113,110,120,110,
Kiribati,65.6,85.9,93,102,132,132,127,148,190,168,133,142,147,154,155,118,158,180,209,178,239,263,218,
St. Kitts and Nevis,447,440,465,483,492,557,689,708,881,873,867,920,880,938,962,1040,1160,1190,1120,1220,1070,1130,1160,
South Korea,475,503,537,685,765,945,1130,1260,1170,1150,1410,1560,1590,1730,1910,1930,2020,2220,2490,2590,2650,3140,3050,3270
Kuwait,425,554,578,626,649,727,782,881,1070,1030,1050,1150,1220,1240,1290,1260,1290,1350,1660,1640,1520,1790,1700,
Lao,14.1,14.5,12.9,17.6,16.2,17.3,19.2,24.6,26.7,35.7,34.5,27.1,32.5,43.5,45.5,52,54.4,61.4,57.2,67.6,52,68.6,41.3,
Lebanon,426,417,392,373,368,347,401,439,462,497,567,641,589,577,570,572,641,672,740,780,518,312,392,
Liberia,8.49,6.83,6.95,6.09,18,20.4,19.3,15.9,26.3,51.8,50.2,53.8,49.9,48.2,59.3,69.4,67.7,71.6,71.2,51.2,76.1,92.3,99.7,
Libya,247,256,182,190,201,210,231,270,312,342,381,305,592,595,462,433,464,466,545,553,473,307,278,
St. Lucia,286,285,300,317,309,333,390,440,430,432,438,464,456,484,465,466,472,495,487,494,578,588,645,
Sri Lanka,42.5,39.9,41.2,40.8,49.1,55.4,63.3,71.4,90,97.3,105,116,110,133,133,144,145,142,155,155,152,157,146,
Lesotho,23.7,28.2,23.2,32,41.2,41.7,49.7,65.8,69.1,80.8,88.6,119,126,132,121,105,91.5,116,131,236,97.3,117,134,
Lithuania,217,219,254,339,367,439,536,704,937,865,805,925,897,959,1020,920,989,1080,1250,1370,1520,1850,1830,1990
Luxembourg,2900,3110,3600,4610,5610,5820,6070,6670,7580,7670,7460,7170,6030,6360,6550,5420,5480,5710,6230,6220,6790,7630,7020,7500
Latvia,182,205,237,281,393,441,552,775,914,745,689,765,746,807,857,776,875,933,1100,1180,1310,1900,1640,
Morocco,54.6,56.6,63.6,77.7,91.2,97.2,110,132,153,166,168,179,172,180,189,163,162,167,176,178,185,212,199,
Monaco,2970,3050,3360,4820,5670,5880,6140,7030,8310,8160,8020,8300,7870,8460,8680,7350,7150,7100,7620,7510,7580,8220,7660,
Moldova,21.4,25.4,33.9,38.4,64.6,79.3,100,135,186,209,198,215,224,232,231,186,171,244,276,284,307,410,398,
Madagascar,11.2,13.1,15,17.6,14.3,15.9,16.4,19.3,20.9,19.6,21.1,22.9,19.3,19.3,22.6,22.3,24.2,23.6,21.1,15.5,16.8,17.2,16.3,
Maldives,220,230,249,241,305,335,404,478,775,680,609,588,647,672,707,837,1020,962,833,881,846,1060,1150,
Mexico,319,364,386,412,446,484,514,558,573,493,534,565,582,626,610,554,490,513,528,550,535,606,651,
Marshall Islands,307,269,310,338,363,491,613,485,536,544,549,376,410,445,450,557,619,553,703,794,687,782,758,
North Macedonia,163,150,173,214,231,230,243,263,314,298,308,335,318,361,358,322,347,375,427,469,511,637,562,
Mali,14,13.2,15.9,18.8,21.7,24,26.9,29.6,33.2,34.6,31.4,31.7,27.5,30.1,35.7,29,27.6,28.5,31.2,31.4,28.2,30.6,29.7,
Malta,647,686,831,1070,1220,1380,1470,1600,1750,1680,1730,1960,1900,2120,2460,2240,2320,2550,2750,2940,3140,3640,3350,
Myanmar,4.47,4.63,7.08,6.57,7.02,7.65,8.47,9.91,14.7,18.7,20.2,27.4,37.3,37.7,54.3,63.6,59.7,59.5,60.8,53.7,66,71.1,58,
Montenegro,,,,,,,,,,,,572,535,597,581,582,605,624,746,755,896,1020,1110,
Mongolia,28.1,27.9,30.7,27.2,33.7,38,49.5,66.2,97.3,76.7,99.5,136,170,180,177,165,168,160,189,198,189,330,448,
Mozambique,7.01,8.54,10,11,14.1,18.4,18.1,19.3,24.5,27.7,26.3,30.4,35.2,41.5,43.5,40.4,31.9,36.8,41.3,41,34.9,45.2,49.5,
Mauritania,23,23.3,26,29.5,31.5,34,35.1,40.4,49.3,44.6,43.8,47.8,49.3,55.5,59.3,57.1,49.9,55.2,49.7,54.6,53.9,73.6,90.4,
Mauritius,116,116,132,158,185,192,203,229,313,302,357,386,387,440,544,516,540,595,641,639,542,594,591,
Malawi,8.85,7.43,11.2,12.3,15.9,17.2,21,25,32.7,35.6,34,39.3,32.5,39.5,35.3,35,34,37.6,36.7,36.9,43.2,47.6,39.7,
Malaysia,112,115,122,142,154,162,201,231,264,246,286,343,372,382,414,369,351,366,410,419,407,477,458,
Namibia,200,186,174,257,347,375,409,463,412,384,520,565,551,485,452,477,410,449,440,397,345,414,406,
Niger,9.11,9.75,10.9,12.6,14.2,18,19.3,20.8,24.8,24.5,23.8,24.8,22.7,24.6,25.1,26,22.7,29.1,30.6,31.9,35.8,35.4,26.5,
Nigeria,17.2,18,17.5,37.9,42.8,52.2,63.6,66.9,77.5,65.7,73,80.2,87.9,97.3,102,92.9,75.5,70.3,63.6,67.6,67.9,81.9,90.9,
Nicaragua,53.3,57.7,58.2,62.1,66.5,73.7,79.4,93.9,109,113,118,125,134,140,156,165,172,182,173,166,166,204,208,
